DateTime,Name,Country,Volatility,Actual,Previous,Consensus
01/13/2010 09:30:00,Manufacturing Production (MoM),United Kingdom,2,0.200,0.000,0.300
01/13/2010 09:30:00,Industrial Production (MoM),United Kingdom,2,0.400,0.100,0.300
01/13/2010 12:00:00,MBA Mortgage Applications,United States,1,14.300,0.500,
01/13/2010 15:00:00,NIESR GDP Estimate (3M),United Kingdom,1,0.100,0.200,
01/13/2010 15:30:00,EIA Crude Oil Stocks change,United States,1,3.700,1.300,1.400
01/13/2010 19:00:00,Monthly Budget Statement,United States,2,-91.900,-120.300,-84.900
01/13/2010 19:00:00,Fed's Beige Book,United States,2,,,
01/13/2010 23:50:00,Domestic Corporate Goods Price Index (MoM),Japan,1,0.100,0.100,0.000
01/13/2010 23:50:00,Domestic Corporate Goods Price Index (YoY),Japan,1,-3.900,-5.000,-3.900
01/13/2010 23:50:00,Machinery Orders (MoM),Japan,1,-11.300,-4.500,0.200
01/14/2010 00:30:00,Unemployment Rate s.a.,Australia,2,5.600,5.600,5.800
01/14/2010 00:30:00,Employment Change s.a.,Australia,2,40.314,29.405,10.200
01/14/2010 07:00:00,Consumer Price Index (YoY),Germany,2,0.900,0.800,0.800
01/14/2010 07:00:00,Consumer Price Index (MoM),Germany,2,0.800,0.700,0.700
01/14/2010 10:00:00,Industrial Production w.d.a. (YoY),European Monetary Union,2,-6.900,-11.100,-8.400
01/14/2010 10:00:00,Industrial Production s.a. (MoM),European Monetary Union,2,1.100,-0.700,0.600
01/14/2010 12:45:00,ECB Interest Rate Decision,European Monetary Union,3,1.000,1.000,1.000
01/14/2010 13:30:00,Retail Sales ex Autos (MoM),United States,3,-0.200,1.900,0.400
01/14/2010 13:30:00,Retail Sales (MoM),United States,3,-0.100,1.800,0.400
01/14/2010 13:30:00,Initial Jobless Claims,United States,2,446.000,433.000,437.000
01/14/2010 13:30:00,Continuing Jobless Claims,United States,1,4617.000,4807.000,4800.000
01/14/2010 13:30:00,Import Price Index (MoM),United States,2,0.200,1.600,0.000
01/14/2010 13:30:00,Import Price Index (YoY),United States,2,8.600,3.700,8.600
01/14/2010 13:30:00,ECB Trichet's Speech,European Monetary Union,3,,,
01/14/2010 15:00:00,Business Inventories,United States,1,0.400,0.400,0.100
01/15/2010 07:00:00,Wholesale Price Index (MoM),Germany,0,0.200,0.700,0.500
01/15/2010 07:00:00,Wholesale Price Index (YoY),Germany,1,0.200,-3.200,0.500
01/15/2010 08:15:00,Producer and Import Prices (MoM),Switzerland,2,0.200,0.000,0.200
